City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,paoua,7.2427,16.4406,24.6,59,94,0.42,CF,1749490651
232,arraial do cabo,-22.9661,-42.0278,21.98,78,75,6.17,BR,1749490354
233,whitehorse,60.7161,-135.0538,11.17,57,75,3.09,CA,1749490654
234,the pas,53.8251,-101.2541,10.01,76,100,1.54,CA,1749490655
235,quiberon,47.4841,-3.1196,20.06,68,5,5.14,FR,1749490656
236,broken hill,-31.95,141.4333,6.39,82,18,3.79,AU,1749490657
237,axim,4.8699,-2.2405,26.55,81,100,2.48,GH,1749490658
238,inari,68.906,27.0288,9.35,65,100,1.82,FI,1749490660
239,maxixe,-23.8597,35.3472,24.9,94,20,6.17,MZ,1749490661
240,goulburn,-34.75,149.7167,5.44,92,49,2.24,AU,1749490480
241,altamira,-3.2033,-52.2064,30.05,70,75,2.57,BR,1749490663
242,dokkum,53.3222,5.997,17.78,70,75,5.66,NL,1749490664
243,beau vallon,-20.4189,57.6953,23.13,78,75,6.17,MU,1749490665
244,bamyan,34.75,67.25,10.46,72,31,3.12,AF,1749490666
245,rtishchevo,52.2604,43.7874,23.73,73,60,4.24,RU,1749490467
246,kita,13.0349,-9.4895,38.06,23,49,3.57,ML,1749490668
247,mount pearl,47.5166,-52.7813,17.47,53,75,3.6,CA,1749490669
248,crane,31.3974,-102.3501,27.74,55,47,5.24,US,1749490671
249,hobyo,5.3505,48.5268,26.69,82,9,11.31,SO,1749490672
250,tangalle,6.024,80.7911,25.89,89,78,4.86,LK,1749490673
251,as salt,32.0392,35.7272,26.6,45,0,2.08,JO,1749490674
252,yeed,4.55,43.0333,29.74,49,68,8.99,SO,1749490675
253,waingapu,-9.6567,120.2641,23.7,83,60,4.18,ID,1749490676
254,kibaya,-5.3,36.5667,14.62,95,83,2.57,TZ,1749490678
255,howard springs,-12.497,131.047,21.04,59,90,2.99,AU,1749490679
256,fort mcmurray,56.7268,-111.381,19.77,48,0,5.66,CA,1749490681
257,adrar,20.5022,-10.0711,41.72,8,1,4.63,MR,1749490682
